,student_id,age,gender,country,device_type,internet_speed_mbps,study_hours_weekly,login_frequency_weekly,avg_session_duration_min,video_watch_time_min,assignments_submitted,forum_posts,quiz_attempts,avg_quiz_score,attendance_rate,engagement_score,final_grade,dropout
27358,27359,43,Male,USA,Tablet,53.49,11.52,14,38.925411102931626,266.6424455696773,4,12,2,65.21,0.42,5.989212227848387,32.251780221738265,1
27361,27362,34,Male,Canada,Laptop,66.18,8.19,8,38.60044648419556,249.1728605583041,3,13,2,64.64,0.6,4.702864302791522,40.70538745428353,0
27362,27363,49,Female,Canada,Mobile,58.32,7.19,9,52.76547034447631,421.2182072866455,9,11,6,80.69,0.43,7.263091036433227,34.13591902851875,1
27363,27364,19,Female,India,Laptop,36.23,12.41,14,62.43580322648613,256.3321591456482,9,14,2,55.56,0.56,7.204660795728241,29.58777654265634,1
27364,27365,36,Female,USA,Mobile,58.0,-2.21,6,3.093630507541313,331.69825164342865,6,6,7,60.1,0.73,3.595491258217144,32.45412066423661,0
27365,27366,24,Male,USA,Tablet,56.71,13.07,12,62.7513705702714,-59.33700693035951,7,7,3,68.08,0.43,5.624314965348203,46.09208893984896,1
27366,27367,35,Male,USA,Laptop,36.14,11.8,12,52.40308600902437,169.57614147940242,9,2,5,71.68,0.75,7.187880707397012,46.307111800145,0
27369,27370,35,Female,India,Laptop,39.86,9.91,13,47.46819389815626,220.46384199765515,1,6,7,81.01,0.93,5.6753192099882765,43.94846060598388,0
27371,27372,43,Female,USA,Tablet,69.41,2.94,10,39.84751744171462,139.9755627925086,3,5,3,55.92,0.5,2.7818778139625437,27.561761423460595,1
27372,27373,41,Female,India,Tablet,54.51,5.17,6,32.04453348643485,370.0365712252132,7,3,1,70.56,0.67,5.001182856126066,29.40202701801969,0
27374,27375,46,Male,USA,Mobile,53.39,14.22,3,44.02741306442153,416.31120565742,6,7,5,76.6,0.53,8.5475560282871,34.201950361744245,1
27375,27376,33,Female,India,Laptop,67.72,13.31,3,40.20031068583185,404.5108092024689,0,5,2,92.62,0.9,6.415554046012344,51.15300366351236,0
27376,27377,32,Male,India,Tablet,47.02,-1.62,13,49.1840538185909,335.5919737056678,5,5,6,34.47,0.91,3.391959868528339,24.330067784846765,0
27378,27379,43,Female,India,Mobile,85.07,6.09,5,14.096987849001492,205.2211454068539,3,10,7,62.76,0.65,4.8531057270342695,28.041108834967485,0
27380,27381,42,Female,Canada,Mobile,58.15,14.89,12,63.36046241285429,422.7105967173351,1,7,5,67.32,0.4,7.780552983586674,47.44978713621157,1
27381,27382,18,Male,India,Mobile,55.34,7.98,5,61.18440243168128,345.71409012312523,3,9,2,63.07,0.67,5.122570450615626,34.95673645725017,0
27385,27386,32,Male,USA,Tablet,46.15,10.13,13,37.92909601113398,52.05104788814498,6,10,5,48.63,0.41,5.499255239440725,21.192034515832503,1
27386,27387,31,Female,USA,Mobile,34.87,6.11,4,40.7442161739313,216.64594098393636,4,12,2,67.9,1.0,4.116229704919682,40.82858399493194,0
27387,27388,31,Male,USA,Tablet,80.61,6.98,14,24.36680118112864,135.62505312666153,4,3,3,92.2,0.9,4.172125265633307,51.44787513581133,0
27390,27391,44,Male,USA,Tablet,45.74,4.62,10,59.68770824615696,76.08464930131419,9,7,3,76.61,0.45,4.166423246506572,38.89034340529624,1
27393,27394,47,Female,India,Mobile,46.33,12.44,2,33.474025076349086,318.44122251613845,9,1,3,97.55,0.74,7.724206112580692,40.36052752862707,0
27394,27395,34,Male,India,Mobile,56.71,15.39,6,27.902578881224187,456.6857267190569,2,14,5,59.47,0.81,8.300428633595285,38.3976817531202,0
27395,27396,22,Female,India,Tablet,55.91,14.54,6,49.3440719203582,206.17828985195683,3,1,4,78.83,0.91,6.792891449259783,41.270938539101245,0
27396,27397,48,Female,Canada,Mobile,58.78,13.14,14,11.265298304234175,265.9486746208679,9,4,5,39.38,0.9,8.07174337310434,17.675084541726314,0
27397,27398,22,Female,USA,Mobile,56.13,13.48,6,69.72125452932804,295.8050030461592,8,10,7,59.37,0.64,8.523025015230795,30.3367427097856,0
27399,27400,32,Female,USA,Tablet,48.78,7.41,8,35.89057721248458,216.92354236626784,1,0,1,84.03,0.79,3.70761771183134,44.691202975473765,0
27400,27401,37,Female,India,Laptop,85.44,9.13,1,12.419425740493846,287.0654245033164,5,8,6,81.37,0.75,6.374327122516583,33.8024331828938,0
27401,27402,28,Male,USA,Laptop,65.56,6.21,3,24.57588793135333,202.9621005980406,7,9,5,49.37,0.85,5.277810502990203,29.360186460220525,0
27402,27403,22,Male,Canada,Mobile,58.74,10.34,10,37.009336040724605,134.38932432776377,4,14,1,63.77,0.5,4.773946621638819,27.11978424561062,1
27403,27404,45,Female,India,Mobile,34.35,22.18,3,18.781460309621178,359.0583237709248,0,14,6,85.33,0.4,9.649291618854622,53.46317695902938,1
27404,27405,18,Female,Canada,Laptop,53.32,11.88,13,40.15130508252499,319.7417652669528,6,14,4,78.01,0.55,7.162708826334764,48.67542381539335,1
27405,27406,28,Female,Canada,Laptop,24.51,6.64,12,65.50142881219118,332.8177995450138,6,7,7,70.37,0.54,6.256088997725069,37.38224181605583,1
27406,27407,28,Male,Canada,Laptop,29.86,4.41,5,34.489215653387646,375.2094657042363,7,4,6,73.25,0.53,5.799047328521182,34.5833937471582,1
27407,27408,23,Male,India,Laptop,69.9,0.45,4,37.95605789829871,341.8719965784211,4,6,1,47.21,0.88,2.844359982892106,30.677540639644995,0
27408,27409,40,Female,Canada,Tablet,58.76,14.05,6,41.24567799201794,509.0651761763172,8,0,6,54.47,0.47,9.560325880881583,31.38382982650193,1
27409,27410,25,Female,Canada,Mobile,66.25,9.68,2,58.88545689477289,54.06845068819294,6,4,1,82.84,0.44,4.574342253440965,38.26947235279023,1
27411,27412,19,Female,USA,Tablet,47.05,10.88,12,61.48472468239939,154.18555812632673,6,11,6,73.28,0.5,6.434927790631634,44.55973237491003,1
27413,27414,32,Female,USA,Tablet,44.29,3.67,13,32.496699796254184,307.2465529879846,2,0,7,80.23,0.66,4.437232764939923,36.32290575500889,0
27414,27415,40,Male,India,Laptop,32.85,8.92,1,51.91152206842968,262.6459530800521,1,4,6,77.0,0.85,5.38922976540026,34.361453606257896,0
27417,27418,32,Female,India,Mobile,37.79,11.23,8,48.27312760051255,620.575685000262,1,0,6,74.7,0.92,7.87187842500131,35.397540256092945,0
27418,27419,25,Male,India,Tablet,37.43,8.43,11,57.33953117489648,357.8058271462812,8,2,2,71.01,0.82,6.318029135731406,27.794874133466838,0
27419,27420,47,Male,USA,Laptop,45.44,9.43,10,36.94668609345653,406.2664263165907,7,7,3,70.17,0.97,6.860332131582954,28.613025950762328,0
27420,27421,33,Female,USA,Laptop,41.11,12.79,11,29.185500732396477,387.6553253847686,7,7,1,73.54,0.43,7.375276626923843,43.18222458894403,1
27421,27422,44,Female,Canada,Laptop,55.3,-0.67,7,26.101118251436773,242.2666218027598,8,13,2,85.73,0.62,3.010333109013799,43.77789621067875,0
27424,27425,37,Female,India,Mobile,38.33,11.82,13,47.344965073945936,248.59044996052344,9,3,2,78.72,0.4,6.988952249802617,37.561984486621526,1
27425,27426,47,Male,India,Mobile,71.6,11.77,4,10.695640852393044,357.6129080494719,4,13,5,37.74,0.7,7.119064540247359,14.827831359985254,0
27427,27428,26,Female,USA,Laptop,73.02,12.31,11,54.639477485129305,379.1893961570898,0,3,6,57.45,0.96,6.7889469807854494,31.814487831694365,0
27429,27430,44,Male,USA,Mobile,64.56,7.31,14,47.04646482866638,173.5615225164198,8,4,2,35.79,0.72,5.060807612582099,14.83347466786381,0
27430,27431,23,Male,USA,Laptop,45.86,6.34,12,35.361608722462165,376.9501254005953,8,12,3,64.09,0.71,5.986750627002976,26.082743967549074,0
27435,27436,37,Female,USA,Mobile,42.07,7.7,13,46.9965337905972,417.022359937383,4,2,1,89.19,0.75,5.395111799686915,48.08811400515763,0
27438,27439,35,Female,USA,Laptop,55.9,5.42,9,46.88260441368584,277.26692585845365,6,14,3,85.71,0.6,4.812334629292268,41.428300206359445,0
27443,27444,38,Female,Canada,Tablet,36.12,8.08,9,51.14374192320244,346.3740649756582,6,14,2,85.04,0.5,5.755870324878291,48.75069378758098,1
27444,27445,33,Male,Canada,Mobile,61.29,9.3,5,12.395443011283898,253.716259084651,0,3,7,87.28,0.88,5.458581295423255,49.06034804052845,0
27447,27448,21,Male,Canada,Tablet,57.53,12.18,6,31.93205953313072,257.7276560504793,2,1,6,80.49,0.89,6.542638280252397,47.67571185824336,0
27449,27450,38,Female,USA,Tablet,55.84,15.21,14,39.222170542026745,448.3228049946574,4,1,4,78.06,0.98,8.404614024973286,44.81688518409076,0
27453,27454,22,Female,USA,Tablet,42.81,6.36,4,44.80626719492945,249.94246729405307,4,11,5,86.68,0.78,4.957712336470265,43.50062316254098,0
27458,27459,31,Female,India,Tablet,49.6,11.67,12,31.24368044003827,368.6396055218044,4,0,1,79.36,0.78,6.344198027609021,37.04355934042775,0
27460,27461,41,Female,USA,Mobile,52.9,13.17,14,38.088625551108535,358.71164750396565,6,13,6,58.1,0.97,8.144558237519828,31.327701776793592,0
27461,27462,42,Female,Canada,Laptop,75.16,10.14,7,32.542238377963784,-35.400183146450274,8,10,3,89.41,0.91,5.064999084267749,46.499050985212186,0
27464,27465,36,Female,Canada,Mobile,52.57,8.58,10,35.819914811846864,446.4731312764061,6,10,3,77.04,0.53,6.606365656382032,33.71617120865187,1
27465,27466,47,Female,Canada,Laptop,55.36,13.72,8,38.37353945733131,341.24927038401813,5,4,6,59.44,0.89,8.02224635192009,33.00431382776056,0
27469,27470,27,Female,Canada,Laptop,34.24,15.48,4,36.2003329994508,244.27702189513863,0,2,5,83.46,0.71,6.865385109475693,45.85330067832562,0
27470,27471,30,Male,Canada,Laptop,51.41,13.48,5,30.875412807175856,253.1022322132708,1,9,1,79.81,0.46,5.709511161066354,45.53556566416436,1
27471,27472,39,Male,Canada,Laptop,45.66,8.89,12,18.397208096239343,175.69410432424863,9,5,4,83.38,0.49,6.145470521621244,49.481523885788434,1
27472,27473,21,Male,USA,Laptop,54.91,15.62,6,45.91820449611927,284.12755662262856,8,13,4,42.2,0.7,8.506637783113144,25.13329051393522,0
27474,27475,32,Male,India,Laptop,68.88,8.75,14,54.22211191949834,355.8498417547187,1,7,1,76.56,0.72,4.8042492087735935,37.11375996461719,0
27475,27476,32,Male,USA,Tablet,49.9,6.09,1,56.598497811224135,163.22655597885063,9,4,5,59.08,0.61,5.4431327798942535,33.92414812006912,0
27476,27477,47,Female,India,Mobile,35.54,10.78,8,32.85857107079465,487.9407038245188,0,14,5,63.85,0.41,6.6737035191225935,31.566794879011663,1
27478,27479,19,Female,Canada,Mobile,56.16,14.73,2,27.05938232906768,239.3626585897401,4,7,7,91.62,0.77,7.8158132929487,55.19936118523923,0
27479,27480,28,Female,USA,Tablet,51.24,10.97,14,35.95613928847211,529.4111124618762,8,6,1,63.96,1.0,7.738055562309381,41.89027299618359,0
27481,27482,40,Male,Canada,Laptop,45.14,9.26,13,46.92302759228174,118.68368152852082,5,2,2,65.38,0.61,4.771418407642605,35.93286628191416,0
27484,27485,22,Male,Canada,Laptop,66.16,5.52,2,25.55105350897073,567.9343957920229,3,3,5,78.68,0.48,6.095671978960114,42.19808665287129,1
27485,27486,30,Female,Canada,Laptop,15.52,2.12,13,33.69467710415077,224.01215043513457,6,2,1,65.8,0.79,3.156060752175673,31.88306848011672,0
27486,27487,18,Female,USA,Laptop,33.23,16.03,3,59.0745312485194,243.20500602000743,0,12,3,90.09,0.78,6.625025030100037,51.186264538568736,0
27487,27488,24,Female,Canada,Mobile,45.2,9.78,2,33.8341122946525,305.7878717748863,7,5,7,54.21,0.48,7.262939358874432,30.32513322639891,1
27489,27490,24,Male,India,Laptop,53.48,5.53,9,32.43302611898096,278.1030682443566,0,13,6,57.9,0.88,4.249515341221783,28.960819851806576,0
27493,27494,29,Male,India,Laptop,68.24,11.45,12,64.47613159959319,203.11406462495347,1,8,6,74.84,0.41,5.850570323124767,43.91716905848924,1
27495,27496,30,Female,Canada,Mobile,48.65,23.45,6,48.41502323686266,175.26096219833127,2,0,4,89.25,0.97,9.111304810991657,47.7830077911069,0
27502,27503,33,Female,Canada,Mobile,38.12,11.72,8,56.47617038646131,402.3247301196699,9,1,1,65.13,0.82,7.52762365059835,31.35376153660408,0
27503,27504,19,Male,India,Mobile,70.69,3.79,6,29.285292422402748,298.4264282058639,4,6,5,72.85,0.52,4.429132141029319,38.14395512715353,1
27504,27505,36,Male,India,Laptop,50.98,10.19,5,56.77101726193577,352.0820077859022,1,5,3,98.58,0.72,5.617410038929512,53.429219051982656,0
27506,27507,18,Female,Canada,Tablet,68.62,13.06,8,11.039105500955213,218.66130803014312,1,7,3,50.76,0.96,5.811306540150715,28.763541968063645,0
27507,27508,28,Female,India,Tablet,28.98,11.47,2,66.48690868313332,370.0820274145496,1,12,2,59.14,0.5,5.891410137072748,34.97984671567181,1
27509,27510,27,Female,India,Mobile,80.32,16.85,10,23.22374558174785,371.0483711302484,2,5,5,48.35,0.77,8.310241855651242,33.06850983316864,0
27510,27511,48,Female,USA,Laptop,62.84,10.98,9,33.46127576916746,275.1377412709692,7,2,4,73.16,0.76,6.869688706354846,41.99393594658148,0
27511,27512,35,Male,Canada,Laptop,35.63,7.22,6,36.0318391891262,203.53697379151615,9,3,6,58.17,0.94,6.183684868957581,38.255164302361095,0
27512,27513,47,Female,USA,Tablet,26.2,8.66,5,55.6194613441663,595.1018873731462,6,10,3,60.94,0.68,7.3735094368657315,28.277708411229305,0
27513,27514,45,Female,India,Mobile,30.75,7.38,6,32.503884853772234,207.11804970651252,3,2,7,66.31,0.83,5.249590248532563,33.94039492586169,0
27514,27515,18,Female,India,Mobile,57.87,4.97,10,32.49071553192564,77.89536211282856,3,5,3,45.67,0.82,3.080476810564143,17.795606364864774,0
27515,27516,36,Female,USA,Tablet,56.86,9.61,5,33.00957486545868,565.1373136744164,5,7,7,76.36,0.54,8.108686568372082,43.04855225555735,1
27516,27517,33,Female,Canada,Laptop,28.58,5.05,5,31.911983722832236,238.58299183606852,9,2,1,66.2,0.47,4.707914959180343,36.68773807270687,1
27520,27521,46,Female,USA,Mobile,35.93,8.04,6,1.5086494594163753,177.51219571924958,3,5,5,47.02,0.6,4.899560978596247,29.617882231559506,0
27522,27523,40,Male,Canada,Mobile,64.21,3.64,5,49.2950521439686,415.93437640806286,6,1,3,90.32,0.72,4.971671882040315,43.1046149230866,0
27523,27524,38,Male,Canada,Mobile,53.16,6.54,7,44.20268237760636,299.76769314961217,6,13,3,65.16,0.58,5.26083846574806,43.12765978147282,1
27528,27529,41,Male,India,Tablet,57.99,5.33,6,33.61421747023554,43.254487668255024,5,4,1,82.9,0.82,3.0152724383412752,43.32245964956817,0
27529,27530,27,Male,India,Laptop,48.18,1.92,3,65.79817329524917,390.7314662214809,0,4,4,71.71,0.61,3.3296573311074047,36.39202227940783,0
27531,27532,48,Male,USA,Tablet,58.63,12.43,9,57.60440600493648,367.2777258065054,0,13,3,84.48,0.98,6.165388629032526,43.62842886529604,0
27534,27535,25,Female,USA,Laptop,64.85,14.09,4,44.602542546251705,461.5848354201992,7,0,3,76.74,0.75,8.534924177100995,42.84895083713515,0
27535,27536,47,Female,India,Tablet,58.36,8.5,12,34.948909666476624,355.1993124561972,6,1,1,57.61,0.5,5.7259965622809865,31.59661117322197,1
27536,27537,22,Female,USA,Laptop,47.0,6.38,1,32.28072861520733,301.92388183968376,3,1,7,84.36,0.51,5.42361940919842,52.59832512476847,1
27539,27540,30,Female,USA,Laptop,58.69,8.95,5,58.24406243757806,359.7295975639844,9,14,3,62.91,0.88,6.883647987819922,35.87721588256,0
27540,27541,30,Female,India,Mobile,52.76,10.67,14,48.98419342066703,120.88121534079022,5,8,4,55.77,0.72,5.605406076703951,28.92317153054829,0
27541,27542,34,Female,India,Mobile,47.46,9.08,14,29.184564669453508,302.4528718282176,4,9,7,60.55,0.62,6.436264359141088,19.09789631733204,0
27549,27550,28,Female,Canada,Mobile,50.83,13.62,10,61.38827623348514,158.25338962550248,7,6,3,100.97,0.7,6.877266948127513,44.0989191698866,0
27550,27551,35,Male,Canada,Tablet,58.22,13.2,7,49.194753306698345,202.6720964294583,3,9,3,86.67,0.44,6.17336048214729,54.836270319289824,1
27551,27552,30,Female,Canada,Laptop,58.06,12.06,7,47.32652222413614,15.144896642825415,7,3,4,75.91,0.96,5.893724483214127,38.82203210760469,0
27553,27554,25,Male,India,Tablet,41.69,12.84,12,38.60790678667189,319.97523680193933,2,5,2,75.99,0.96,6.2518761840096975,37.2956434296585,0
27554,27555,49,Male,India,Mobile,64.95,11.66,6,60.90011400964714,363.4618248191792,5,8,5,86.28,0.48,7.315309124095895,41.93715012125346,1
27556,27557,36,Female,India,Tablet,63.25,12.37,12,44.6317947716599,261.28959608234834,5,4,2,100.61,0.42,6.417447980411741,53.083845286241605,1
27557,27558,34,Male,India,Laptop,47.32,5.48,7,32.146017307875006,181.68455283575025,8,13,3,71.73,0.47,4.752422764178752,38.07135725398526,1
27559,27560,20,Female,Canada,Mobile,52.78,7.69,13,44.47973563356428,579.0607005805437,4,11,3,84.0,0.53,6.602303502902718,44.760911204953096,1
27561,27562,23,Female,India,Tablet,52.28,5.57,14,32.560542651890934,117.79673720164756,1,7,3,97.61,0.42,3.059983686008238,42.493692033161,1
27562,27563,27,Female,India,Laptop,42.36,6.77,9,27.01333496648304,264.5897453431504,2,8,6,88.21,0.63,4.953948726715751,40.49088685595376,0
27565,27566,35,Male,India,Mobile,47.63,7.95,7,57.31864165423448,297.9603505287598,6,11,2,87.72,0.7,5.474801752643799,51.07477488662112,0
27566,27567,35,Male,India,Mobile,48.62,11.07,7,46.37516620277001,289.7744221745517,7,12,5,81.77,0.49,7.16987211087276,42.06299748166656,1
27569,27570,24,Female,India,Mobile,45.85,4.17,10,34.760468302563154,206.8131253804587,7,8,6,58.45,0.75,4.885065626902294,38.55937495573875,0
27574,27575,22,Male,USA,Mobile,54.46,16.96,3,39.153438614296505,214.8373416714783,0,8,6,86.91,0.67,7.362186708357392,54.546410273490345,0
27575,27576,44,Male,Canada,Tablet,71.3,12.59,3,45.1470615587664,332.67455752914367,6,2,6,72.79,0.98,7.840372787645719,42.95533750052594,0
27578,27579,44,Female,Canada,Laptop,74.43,11.16,2,60.06073929010409,119.10067282840367,3,14,7,64.53,0.59,5.9435033641420185,26.92955963374918,1
27580,27581,27,Male,India,Laptop,68.65,16.41,11,33.05832365701737,332.5145692533581,2,8,3,74.56,0.53,7.585572846266791,42.27323362673355,1
27582,27583,29,Male,USA,Laptop,69.28,9.83,9,38.57173646384848,-52.91731117229972,2,6,6,60.01,0.8,4.284413444138501,38.98589693394655,0
27584,27585,37,Male,USA,Laptop,35.54,9.26,1,26.278351261567035,526.8741768160626,3,6,5,73.31,0.55,7.012370884080312,40.25888168282625,1
27585,27586,42,Male,Canada,Laptop,52.27,10.59,10,34.32009611684855,283.41378493642384,5,0,7,53.86,0.52,6.99406892468212,22.53652049856912,1
27587,27588,40,Male,USA,Laptop,52.45,13.05,7,61.29260631390575,240.25336411282905,1,13,4,71.93,0.95,6.116266820564145,41.0462118299355,0
27588,27589,33,Female,USA,Tablet,39.83,4.15,10,30.12585314375922,233.23445863831824,9,7,6,95.31,0.62,5.411172293191592,46.91909541730203,0
27589,27590,32,Male,Canada,Laptop,41.37,6.07,8,51.73961188306707,121.45243414771484,6,4,2,67.93,0.9,4.028262170738574,33.32047708117211,0
27590,27591,45,Female,Canada,Tablet,37.92,7.83,3,49.89848233870888,182.94266485377997,2,13,3,88.13,0.73,4.263713324268899,36.524530645456274,0
27591,27592,30,Female,Canada,Laptop,50.55,7.78,1,34.08208956929245,488.70531038292506,0,1,7,40.25,0.72,6.177526551914625,19.537394840531046,0
27592,27593,35,Male,Canada,Laptop,59.79,14.72,11,33.01576107849947,205.83931477623784,0,1,5,89.26,0.92,6.44519657388119,45.69541442768672,0
27593,27594,45,Female,Canada,Mobile,36.51,1.56,12,25.845603832308868,305.48571909855133,0,1,3,69.37,0.93,2.5954285954927565,40.65639573622381,0
27597,27598,35,Female,India,Tablet,48.38,15.71,4,1.4620465371195903,351.0177038266416,0,3,5,66.36,0.52,7.468088519133208,42.89006337938009,1
27598,27599,19,Male,Canada,Tablet,46.48,14.06,4,30.90675362200348,195.12685717998068,4,7,7,73.89,0.79,7.393634285899903,37.53743096591791,0
27599,27600,19,Female,India,Laptop,48.76,5.24,11,45.64418364485536,255.22571240613223,5,1,1,89.04,0.98,4.048128562030661,46.04042415358326,0
27600,27601,20,Male,USA,Mobile,52.21,14.13,4,34.85843438310858,197.3945742878265,9,14,6,57.34,0.71,8.225972871439133,30.26274159975307,0
27602,27603,42,Female,Canada,Tablet,46.88,8.89,12,15.544154301659262,21.91235983990964,1,7,5,34.85,0.48,3.976561799199549,15.602667965792053,1
27606,27607,32,Female,India,Laptop,65.37,8.25,1,29.104222943629225,288.1750448688673,9,10,2,68.43,0.61,6.115875224344337,34.56160757084234,0
27610,27611,43,Male,Canada,Laptop,22.73,10.1,6,34.089441105535016,301.82826976654724,8,7,6,94.68,0.45,7.339141348832736,59.63302021976799,1
27611,27612,48,Female,India,Mobile,27.33,4.63,3,28.55590462833449,398.284142009236,0,13,6,76.07,0.66,4.58042071004618,40.801110404399054,0
27612,27613,31,Male,India,Mobile,95.27,10.99,14,33.01336116640216,296.86297651130496,8,7,4,59.18,0.84,7.181314882556525,34.37929358234779,0
27614,27615,38,Male,India,Mobile,28.0,-0.5,8,38.00338903648756,350.4818249537283,4,5,4,79.23,0.95,3.202409124768641,37.709351042110434,0
27615,27616,33,Female,USA,Mobile,31.72,16.84,5,43.42019460837541,402.6775040771855,7,9,6,64.54,0.59,9.665387520385927,31.60363847688973,1
27616,27617,28,Male,India,Laptop,48.98,9.6,8,66.64726427429123,298.41246996387383,1,10,7,92.54,0.96,5.972062349819369,42.37596959240016,0
27620,27621,25,Female,Canada,Mobile,68.01,6.7,13,12.622258179794176,206.87308348815407,0,1,1,54.64,0.57,3.2443654174407706,25.68276348301167,1
27621,27622,33,Male,USA,Mobile,31.58,16.26,10,23.696165189152847,180.91393326781795,3,0,5,60.74,0.73,7.382569666339089,31.69849623347698,0
27622,27623,20,Male,India,Tablet,57.18,11.57,11,24.254584791473278,183.5853876134637,3,3,6,76.99,0.75,6.188926938067319,33.956655087682606,0
27626,27627,47,Male,India,Tablet,57.78,16.57,4,66.00635951587141,397.05160636066506,2,3,6,76.4,0.96,8.556258031803326,50.22167508144304,0
27627,27628,26,Female,India,Tablet,51.75,11.25,14,50.347657150112965,233.46189374997863,0,8,6,87.37,0.92,5.742309468749894,48.47797628853271,0
27628,27629,33,Female,Canada,Tablet,39.43,5.89,2,44.4931906503943,236.1659031700228,9,1,1,61.7,0.8,4.947829515850114,26.064665608800507,0
27629,27630,48,Female,Canada,Laptop,55.01,9.74,9,49.78844843795031,228.76709257416508,6,3,7,53.69,0.88,6.6658354628708265,21.177838000086563,0
27630,27631,39,Female,USA,Mobile,69.96,10.05,9,21.738004581100245,221.40019845975468,0,4,7,52.54,0.62,5.522000992298774,21.45329946597297,0
27631,27632,43,Male,Canada,Laptop,61.7,8.76,7,28.517679210189318,285.1763721900769,1,1,3,69.24,0.78,4.853881860950384,42.80052980179418,0
27632,27633,45,Male,Canada,Tablet,37.13,6.58,2,56.482434517353134,74.42787231397216,6,2,6,69.7,0.86,4.7461393615698615,30.784856081519628,0
27634,27635,27,Male,India,Tablet,27.35,13.24,14,36.10459274090478,402.3827165487601,0,12,4,71.85,0.99,6.7839135827438,40.65229671891584,0
27635,27636,36,Male,Canada,Mobile,47.36,10.01,11,39.18802335833431,235.7257279998065,2,9,2,58.3,0.67,4.981628639999033,34.324782861295404,0
27639,27640,49,Female,Canada,Laptop,14.62,11.04,6,34.49930252304439,236.2424732763373,1,11,6,60.2,0.94,5.893212366381687,27.62241884419867,0
27641,27642,21,Male,Canada,Laptop,34.77,15.11,5,50.30814874688892,462.347912537094,6,6,1,52.52,0.53,8.244739562685467,30.55571137522067,1
27642,27643,26,Female,Canada,Tablet,34.37,15.31,3,37.34446355823697,548.9157004198992,6,1,4,77.88,0.43,9.337578502099497,38.06681085685492,1
27643,27644,21,Male,India,Mobile,43.9,13.26,12,32.997061058989885,274.5847431465877,4,6,4,100.62,0.9,6.950923715732938,47.27306118197829,0
27646,27647,45,Female,USA,Laptop,82.67,16.28,10,23.7540557166386,201.80302029176832,9,9,1,59.35,0.48,7.893015101458841,25.79641870877321,1
27647,27648,38,Male,Canada,Tablet,42.29,6.21,9,41.72756432506765,269.6520590003366,1,10,3,81.95,0.86,4.011260295001684,42.47795197775,0
27648,27649,49,Female,Canada,Tablet,31.15,6.8,11,32.78440098741422,145.44508602805797,6,13,3,74.33,0.83,4.56722543014029,37.10257667299148,0
27649,27650,32,Female,India,Mobile,32.36,19.48,14,42.97800474810097,190.3204950589841,1,4,1,57.28,0.68,7.195602475294921,26.66601639889467,0
27650,27651,41,Female,USA,Tablet,72.6,5.69,1,29.423992169417566,369.8422278403369,3,2,4,74.01,0.66,4.956211139201684,39.42035365528283,0
27653,27654,44,Male,USA,Mobile,57.71,16.43,1,15.84093867119305,142.05155388298468,1,14,1,61.55,0.75,6.039257769414923,34.147282336865,0
27655,27656,20,Male,Canada,Tablet,36.27,8.42,6,52.32301430394804,246.15224653468312,2,3,4,66.66,0.89,4.956761232673416,34.18387055361207,0
27657,27658,45,Male,India,Laptop,69.03,4.76,11,55.10111869366264,277.81212537701305,4,7,1,80.49,0.82,3.817060626885065,41.1990519428028,0
27658,27659,40,Male,Canada,Laptop,40.02,22.18,13,49.66608467793437,325.6903997677049,0,14,1,84.18,0.87,8.482451998838524,39.18227998449824,0
27659,27660,21,Female,India,Mobile,62.94,10.06,11,69.26943645748788,130.15691232265146,4,12,4,76.81,0.79,5.268784561613257,41.31950817100931,0
27661,27662,48,Male,India,Laptop,31.38,6.11,3,31.070124838892475,370.2673052386013,6,6,7,66.57,0.68,6.284336526193007,43.54887883996744,0
27662,27663,18,Male,USA,Mobile,52.15,10.05,4,61.217563145841424,268.0088724466424,6,4,7,74.77,0.93,6.955044362233212,38.96805088370441,0
27663,27664,40,Male,USA,Mobile,47.52,7.94,1,40.85922253685244,389.60496259382046,6,0,1,88.25,0.53,5.730024812969103,41.97792493414298,1
27667,27668,31,Male,USA,Tablet,45.73,11.14,4,20.839141938455143,300.3188066257386,7,1,5,83.89,0.71,7.243594033128693,39.63585643397907,0
27668,27669,34,Male,Canada,Mobile,69.81,6.72,14,22.79977215714413,84.1149222401501,6,7,5,79.98,0.5,4.636574611200751,39.82548635792657,1
27669,27670,18,Female,USA,Mobile,54.15,6.57,6,51.03872286699632,347.4783848835697,6,12,4,93.87,0.59,5.708391924417849,54.31861031699626,1
27671,27672,40,Female,India,Laptop,39.04,8.9,1,66.5085611546308,393.4111936347337,4,0,2,114.37,0.56,5.837055968173669,65.49938150048902,1
27674,27675,42,Male,USA,Mobile,50.7,5.99,14,33.990823653730125,205.99134805957132,8,12,1,65.58,0.98,4.6269567402978575,28.23261334941245,0
27676,27677,36,Female,Canada,Tablet,49.55,8.65,11,34.73166817064756,216.21621338035916,8,5,5,78.37,0.91,6.276081066901796,44.25095160186801,0
27677,27678,41,Male,USA,Laptop,59.23,9.21,6,30.79286811919052,203.76044724939567,5,0,4,81.46,0.52,5.581802236246979,38.110372544689945,1
27678,27679,42,Male,Canada,Mobile,65.88,15.7,5,35.59598594073752,310.89242944598936,9,13,3,95.94,0.78,8.664462147229948,52.82560654394575,0
27679,27680,20,Female,Canada,Tablet,34.48,3.23,4,49.8248837921217,181.40883859067367,6,10,2,57.85,0.8,3.4760441929533687,26.082160100674997,0
